,Artist Name,Release,Song Title,Artist Location,Duration (sec),Key,Key Confidence,Mode,Mode Confidence,Loudness,Tempo,Time Signature,Time Signature Confidence,End of Fade In,Interval 1 Count,Interval 2 Count,Interval 3 Count,Interval 4 Count,Interval 5 Count,Interval 6 Count,Interval 7 Count,Interval 8 Count,Interval 9 Count,Interval 10 Count,Interval 11 Count,Interval 12 Count
1422,THE COOKIES,The Dimension Dolls,Chains (LP Version),,149.18485,2,0.707,1,0.682,-7.848,120.183,4,0.0,0.214,96.0,84.0,65.0,53.0,48.0,54.0,20.0,42.0,20.0,7.0,1.0,0.0
1423,Peppermint Creeps,Cover Up,Bastard,California - LA,153.93914,7,0.74,1,0.504,-5.745,186.128,4,0.0,0.0,261.0,44.0,30.0,18.0,11.0,38.0,29.0,32.0,5.0,3.0,10.0,3.0
1424,M Sane,Pimpin' N' Panderin,"Unda Da Influence"" (Snippets)",,126.87628,7,0.001,1,0.182,-6.962,173.221,4,0.934,0.0,122.0,100.0,73.0,68.0,47.0,42.0,28.0,43.0,33.0,37.0,16.0,17.0
1425,Oesch's die Dritten,Jodelzauber,Der weisse Mond von Maratonga,,209.97179,0,0.752,1,0.804,-7.094,93.265,4,0.663,0.386,210.0,35.0,70.0,15.0,30.0,26.0,4.0,11.0,2.0,16.0,0.0,25.0
1426,The Grip Weeds,Summer of a Thousand Years,Melancholia,New Brunswick NJ,206.18404,11,0.024,1,0.299,-5.851,128.399,4,0.483,0.113,271.0,63.0,51.0,26.0,39.0,48.0,28.0,39.0,6.0,10.0,3.0,3.0
1427,Alice In Chains,Jar of flies / Facelift / Dirt,Sickman,"Seattle, WA",329.37751,10,0.264,0,0.413,-5.626,150.077,4,0.516,0.079,324.0,161.0,69.0,21.0,109.0,91.0,31.0,30.0,20.0,39.0,27.0,7.0
1428,Vanessa Daou,Zipless (Deluxe),Smoke,,167.6273,6,0.018,0,0.407,-14.904,123.094,4,0.0,0.189,317.0,69.0,53.0,93.0,41.0,65.0,19.0,1.0,3.0,0.0,0.0,0.0
1429,Dark Fortress,Eidolon,The Silver Gate,,409.96526,9,0.043,1,0.256,-2.93,116.49,4,0.387,0.49,303.0,207.0,72.0,39.0,26.0,33.0,15.0,71.0,32.0,21.0,14.0,5.0
1430,Gloria,Live,If Music Be The Food Of Love,BG,130.92526,5,0.083,0,0.33,-13.391,93.119,4,0.056,0.107,87.0,22.0,29.0,20.0,13.0,41.0,6.0,31.0,21.0,8.0,11.0,0.0
1431,Wilshire,New Universe,Special,"GREENSBORO, North Carolina",184.37179,4,0.518,0,0.46,-3.663,130.12,4,0.0,2.624,179.0,39.0,45.0,11.0,16.0,19.0,9.0,24.0,16.0,15.0,8.0,19.0
1432,Legacy Five,Monuments,Out Of My Darkness,Tennessee,189.07383,1,0.491,1,0.549,-8.885,90.033,4,1.0,0.148,227.0,60.0,75.0,27.0,37.0,45.0,10.0,63.0,16.0,6.0,16.0,8.0
1433,Seal,Best 1991 - 2004,Prayer For The Dying (Album Version),"Paddington, London, England",330.26567,5,0.714,1,0.716,-7.294,133.155,5,0.847,3.21,368.0,90.0,148.0,52.0,97.0,158.0,11.0,50.0,23.0,37.0,5.0,4.0
1434,Sir Neville Marriner,Respighi: Ancient Airs and Dances,Ancient Airs and Dances (1996 Digital Remaster)_ Suite No. 2: III.  Campanae parisienses (anon.) - Aria (Marin Mersenne),,220.05506,0,0.435,0,0.678,-25.585,0.0,1,0.927,2.856,225.0,32.0,77.0,33.0,17.0,29.0,5.0,56.0,11.0,2.0,7.0,6.0
1435,Nickelback,All The Right Reasons,Follow You Home (Album Version),"Hanna, Alberta, Canada",260.33587,5,0.103,1,0.433,-3.693,140.027,4,0.852,0.352,218.0,108.0,45.0,84.0,39.0,60.0,29.0,70.0,14.0,37.0,81.0,29.0
1436,Chris Standring,Groovalicious,Say What!?!,California - LA,269.322,0,0.673,1,0.593,-9.041,140.044,4,0.445,0.212,168.0,224.0,150.0,54.0,50.0,43.0,40.0,56.0,29.0,96.0,63.0,63.0
1437,Mons Leidvin Takle,Navnet Jesus,Blott En Dag,,180.37506,7,0.018,1,0.484,-16.067,60.509,5,0.487,1.52,266.0,8.0,28.0,9.0,21.0,22.0,3.0,36.0,0.0,2.0,0.0,6.0
1438,Nicholas Hooper,Harry Potter And The Order Of The Phoenix Original Motion Picture Soundtrack,The Sirius Deception (Album Version),,154.38322,1,0.084,1,0.492,-19.751,98.509,4,0.364,2.781,176.0,35.0,5.0,5.0,14.0,3.0,2.0,40.0,18.0,2.0,0.0,14.0
1439,The Ocean,Heliocentric,Catharsis Of A Heretic,"London, Ontario, Canada",128.83546,5,0.611,0,0.712,-8.966,139.972,4,1.0,0.0,166.0,29.0,23.0,27.0,14.0,43.0,18.0,19.0,12.0,2.0,2.0,1.0
1440,Los Solitarios,12 Grandes exitos Vol. 1,Verdad Amarga,,168.12363,5,0.61,0,0.638,-14.058,94.994,1,0.0,0.138,230.0,80.0,60.0,48.0,30.0,44.0,8.0,54.0,31.0,13.0,15.0,5.0
1441,Glen Washington,Vibes,Your Love,,234.68363,5,0.132,0,0.354,-14.213,102.605,1,1.0,0.0,276.0,50.0,105.0,106.0,30.0,189.0,18.0,23.0,69.0,7.0,33.0,8.0
1442,Anti-Flag,Underground Network,Spaz's House Destruction Party,"Pittsburgh, PA",184.05832,1,0.44,1,0.468,-6.547,131.121,4,0.0,0.189,245.0,128.0,49.0,44.0,33.0,102.0,17.0,45.0,38.0,11.0,21.0,13.0
1443,Josh Groban,Awake Live,Mai [Live],,282.85342,9,0.57,1,0.575,-7.341,125.958,4,0.515,7.941,227.0,48.0,66.0,33.0,37.0,65.0,25.0,52.0,18.0,6.0,7.0,6.0
1444,Josh White,Josh White Vol. 1 1929-1933,This Heart Of Mine,"Greensboro, NC",178.75546,4,0.499,0,0.559,-21.858,163.083,1,0.0,0.752,195.0,18.0,87.0,35.0,7.0,26.0,6.0,8.0,10.0,79.0,0.0,29.0
1445,The Paynes,Made New,When He Was On The Cross (I Was On His Mind),United States,310.20363,11,0.582,1,0.57,-12.634,115.919,4,0.854,0.189,312.0,88.0,67.0,78.0,32.0,58.0,18.0,35.0,18.0,19.0,12.0,22.0
1446,Bacilos,Bacilos,Lo Mismo Que Yo (Bonus Track),,247.71873,6,0.096,0,0.434,-8.64,80.996,4,0.502,2.339,389.0,80.0,34.0,55.0,40.0,49.0,24.0,35.0,8.0,6.0,4.0,0.0
1447,4Him,Best Ones,Wings,,241.97179,1,0.595,1,0.648,-9.295,171.329,3,0.748,3.431,289.0,111.0,109.0,47.0,44.0,103.0,18.0,65.0,34.0,57.0,35.0,3.0
1448,Scalplock,Spread The Germs,Pedagogy for the Oppressed (Album Version),,114.02404,6,0.043,0,0.544,-8.502,75.889,5,0.481,3.518,114.0,65.0,23.0,19.0,6.0,13.0,10.0,29.0,21.0,12.0,0.0,0.0
1449,Erkki Junkkarinen,20 Suosikkia / Tulisuudelma,Rakkautta Kööpenhaminassa - Förälskad i Köpenhamn -,,165.53751,5,0.778,1,0.596,-11.126,101.272,3,0.755,3.587,247.0,71.0,57.0,21.0,29.0,44.0,3.0,39.0,11.0,6.0,8.0,2.0
1450,Juggler,Tribesman Album,How It Feels,,231.94077,10,0.216,0,0.311,-14.1,140.019,5,1.0,0.0,422.0,364.0,86.0,65.0,99.0,59.0,20.0,40.0,63.0,38.0,20.0,9.0
1451,Lee Ritenour,Rit/2,Keep It Alive,"Hollywood, CA",291.83955,10,0.353,1,0.248,-14.199,82.733,4,0.168,0.484,281.0,94.0,115.0,64.0,71.0,102.0,33.0,83.0,15.0,29.0,38.0,9.0
1452,Cursed,One,Pariah,,74.68363,5,0.0,0,0.099,-3.599,104.805,1,0.0,0.0,62.0,33.0,5.0,10.0,5.0,5.0,6.0,28.0,3.0,1.0,1.0,1.0
1453,The Fever,In The City Of Sleep,Bye Bye Betty Blue,"New York, NY",194.45506,7,0.133,0,0.17,-4.533,84.461,4,0.365,0.0,128.0,62.0,67.0,40.0,54.0,49.0,13.0,35.0,18.0,14.0,6.0,1.0
1454,KRS-One,Adventures In Emceein,Getaway,,187.24526,1,0.466,1,0.395,-5.73,109.072,5,1.0,0.0,225.0,136.0,108.0,72.0,77.0,46.0,68.0,53.0,17.0,7.0,7.0,2.0
1455,Washboard Sam,Washboard Sam Vol. 1 (1935-1936),Come On In,"Walnut Ridge, AR",162.87302,0,0.085,0,0.651,-16.055,174.609,4,0.655,0.386,186.0,33.0,28.0,48.0,36.0,26.0,33.0,45.0,18.0,17.0,8.0,91.0
1456,Semisonic,20th Century Masters: The Millennium Collection: Best Of Semisonic,Secret Smile,"Minneapolis, MN",280.00608,1,0.485,1,0.493,-9.429,99.059,4,0.925,0.148,342.0,63.0,196.0,44.0,22.0,119.0,9.0,78.0,10.0,35.0,21.0,3.0
1457,Carlos Vives,Coleccion de Oro,Si Es Que Te Vas, ,262.24281,0,0.423,1,0.53,-8.285,130.513,3,0.438,0.218,341.0,103.0,83.0,61.0,34.0,69.0,17.0,44.0,9.0,12.0,6.0,14.0
1458,Vanessa Bell Armstrong,The Experience,Greater,"Detroit, MI",419.68281,1,0.343,1,0.476,-5.251,93.924,4,0.428,0.0,354.0,182.0,162.0,80.0,59.0,92.0,36.0,70.0,53.0,51.0,40.0,42.0
1459,Information Society,Hack,Hack 1/Charlie X,"Minneapolis, MN",211.9571,1,0.418,0,0.364,-11.331,120.583,4,1.0,0.0,139.0,179.0,64.0,67.0,45.0,64.0,201.0,100.0,61.0,43.0,60.0,22.0
1460,Tito Rodriguez_ Louie Ramirez,"En ""Algo Nuevo",La Piel de Tu Alma,"San Juan, Puerto Rico",244.27057,8,0.529,1,1.0,-16.375,162.984,4,0.141,0.664,253.0,95.0,102.0,72.0,60.0,82.0,28.0,42.0,28.0,23.0,21.0,11.0
1461,Margaret Smith,As It Should Be,Disciplinarian,,46.86322,6,0.302,1,0.45,-17.532,111.006,1,0.0,0.0,36.0,40.0,23.0,17.0,18.0,13.0,11.0,8.0,5.0,5.0,4.0,1.0
1462,Wilks featuring doniki,Smiling,Fly to zion,,255.00689,7,0.627,1,0.639,-10.791,170.702,4,0.203,0.299,271.0,146.0,119.0,101.0,53.0,66.0,45.0,78.0,53.0,48.0,15.0,65.0
1463,Carlos Baute,Directo en tus manos,Estas hecha para mi (Directo 09),,214.09914,9,0.108,0,0.275,-4.678,113.966,4,0.276,0.0,275.0,95.0,59.0,40.0,42.0,57.0,19.0,38.0,24.0,31.0,19.0,14.0
1464,The Pineapple Thief,Little Man,Boxing Day,,233.66485,4,0.352,0,0.44,-11.104,160.052,3,0.927,0.0,382.0,56.0,42.0,47.0,36.0,33.0,13.0,41.0,6.0,5.0,2.0,15.0
1465,Blind Blake & The Royal Victoria Hotel Calypsos,Bahamian Songs,Bahama Lullaby,"Jacksonville, FL",161.74975,3,0.256,1,0.397,-9.23,110.603,3,0.794,0.0,176.0,72.0,52.0,49.0,40.0,47.0,31.0,26.0,23.0,15.0,23.0,12.0
1466,John Tchicai,Hymn To Sophia (Hymne Til Sofia),Musica Sacra Nova: Morgen I Frydenlund,"Copenhagen, Denmark",250.72281,1,0.777,1,0.664,-22.088,158.982,1,1.0,0.154,190.0,23.0,20.0,5.0,3.0,8.0,19.0,45.0,0.0,7.0,0.0,0.0
1467,Toots Thielemans,Chez Toots,Le Temps Des Cerises,"Brussels, Belgium",109.16526,7,0.914,1,0.772,-19.736,63.334,5,0.905,0.235,138.0,3.0,26.0,3.0,11.0,17.0,2.0,23.0,0.0,7.0,0.0,5.0
1468,Tad,8-Way Santa,Stumblin' Man (Album),"Seattle, WA",215.43138,2,0.661,1,0.417,-12.067,157.532,4,0.091,0.195,223.0,171.0,154.0,34.0,8.0,17.0,10.0,20.0,3.0,14.0,7.0,3.0
1469,Ultimate Fakebook,This Will Be Laughing Week,This Will Be Laughing Week,"Manhattan, Kansas",116.4273,7,0.767,1,0.837,-9.873,130.815,1,0.0,0.09,91.0,28.0,50.0,28.0,38.0,31.0,30.0,58.0,12.0,19.0,4.0,9.0
1470,Oztara,Live Au Divan Orange,Valérie,,401.97179,5,0.313,1,0.254,-7.121,132.188,1,0.0,0.369,342.0,243.0,139.0,117.0,173.0,111.0,135.0,85.0,84.0,51.0,18.0,16.0
1471,Black Eyed Peas / Les Nubians / Mos Def,Bridging The Gap,On My Own,"Los Angeles, CA",235.10159,6,0.748,1,0.617,-6.618,94.993,4,0.684,0.0,224.0,169.0,61.0,58.0,58.0,91.0,60.0,41.0,39.0,82.0,73.0,52.0
1472,Kraftwerk,Minimum - Maximum,Elektro Kardiogramm (Live),"D�orf, Germany",283.24526,0,0.568,1,0.477,-9.805,126.007,4,0.45,2.601,351.0,199.0,107.0,54.0,24.0,26.0,28.0,55.0,14.0,85.0,72.0,24.0
1473,The Frequency,Morning to 3am,Ego is the drug/3am,,1054.37995,9,1.0,1,0.825,-11.906,246.5,4,0.873,0.207,1743.0,86.0,226.0,44.0,38.0,67.0,18.0,276.0,15.0,73.0,7.0,8.0
1474,Giorgos Tsalikis,Live!,Apotoma,,31.42485,4,0.0,1,0.0,-12.483,123.709,4,0.0,0.0,33.0,12.0,6.0,3.0,6.0,11.0,2.0,16.0,9.0,3.0,10.0,4.0
1475,Ziggy Marley And The Melody Makers,Conscious Party,What's True,,207.20281,4,0.725,0,0.529,-14.799,154.603,4,0.451,0.166,284.0,80.0,61.0,69.0,64.0,80.0,27.0,43.0,73.0,64.0,24.0,26.0
1476,MDO,Subir Al Cielo,Tonight_ Te Amaré,,211.74812,5,0.595,1,0.481,-5.184,216.196,7,0.0,0.142,270.0,157.0,88.0,37.0,61.0,48.0,27.0,58.0,76.0,85.0,48.0,27.0
1477,Leigh Jones,Music in My Soul,Have It Your Way,,279.74485,8,0.461,0,0.448,-9.027,172.35,3,0.892,0.0,310.0,122.0,88.0,64.0,31.0,83.0,31.0,22.0,28.0,25.0,44.0,19.0
1478,Between The Buried And Me,Colors,Foam Born (A) The Backtrack (Album Version),"Charlotte, NC",133.82485,10,0.576,0,0.37,-8.06,120.663,4,1.0,0.456,71.0,24.0,16.0,12.0,11.0,17.0,4.0,22.0,19.0,4.0,5.0,2.0
1479,Tania Maria,Viva Brazil,Vem Pr'a Roda,,267.67628,5,0.583,1,0.326,-10.96,176.349,4,0.236,6.24,535.0,171.0,61.0,51.0,88.0,139.0,36.0,25.0,46.0,42.0,28.0,12.0
1480,DJ Quik,Born And Raised In Compton: The Greatest Hits,Pitch In OnA Party,Compton CA,247.562,6,0.062,0,0.194,-6.57,106.435,4,0.494,0.188,268.0,98.0,120.0,91.0,22.0,107.0,68.0,49.0,44.0,21.0,61.0,90.0
1481,Massiel,Serie 3x4 (Karina_ Massiel_ Jeanette),Acordeón,,192.20853,4,0.645,0,0.478,-7.012,141.681,4,0.55,0.0,303.0,65.0,40.0,30.0,54.0,100.0,13.0,58.0,9.0,24.0,13.0,28.0
1482,Yahir,El Amor,El Amor (Version Nortena),"Hermosillo Sonora, Mexico",239.67302,9,0.53,1,0.489,-7.345,151.869,5,0.054,2.873,321.0,124.0,99.0,67.0,51.0,84.0,34.0,88.0,37.0,19.0,30.0,46.0
1483,Micachu,Turn Me Well,Just In Case,,166.42567,2,0.32,1,0.469,-8.107,117.368,4,1.0,0.0,235.0,68.0,72.0,63.0,57.0,39.0,17.0,96.0,12.0,37.0,18.0,19.0
1484,Static-X,Wisconsin Death Trip,Love Dump (Clean Album Version),Alabama,259.63057,10,0.0,0,0.0,-7.295,130.098,1,0.0,4.708,243.0,188.0,161.0,118.0,103.0,71.0,53.0,50.0,26.0,12.0,20.0,15.0
1485,Paso Doble,Versunkener Schatz,Kleine Killer,,229.40689,11,0.78,0,0.757,-9.793,130.823,5,0.705,0.978,218.0,38.0,154.0,117.0,49.0,146.0,24.0,52.0,18.0,55.0,10.0,9.0
1486,Skeeter Davis,Let Me Get Close To You (With Bonus Tracks),It Was Only A Heart,"Dry Ridge, KY",156.29016,2,0.109,1,0.597,-9.322,108.417,4,0.445,0.299,194.0,54.0,16.0,7.0,9.0,30.0,5.0,79.0,28.0,7.0,0.0,0.0
1487,Webb Wilder,More Like Me,Too Cool for Love,,277.10649,5,0.565,1,0.528,-7.077,116.992,4,0.0,0.0,400.0,42.0,70.0,42.0,32.0,86.0,6.0,42.0,10.0,28.0,31.0,3.0
1488,Gruppo Jazz Marca,Aria Di Citta',Sensazioni a_b & c,Great Britain / UK,749.81832,0,0.061,1,0.084,-16.889,117.985,3,0.961,0.0,853.0,338.0,379.0,157.0,148.0,117.0,105.0,144.0,90.0,66.0,46.0,24.0
1489,Atman,97 | 07,Dancing With the Goddess (ttt rmx),,264.25424,5,0.173,0,0.236,-9.109,90.055,1,0.379,0.0,858.0,243.0,174.0,127.0,28.0,108.0,85.0,172.0,104.0,28.0,71.0,3.0
1490,Shakedown,At Night (The Unreleased Mixes),At Night,California,437.9424,3,0.256,0,0.138,-6.042,123.994,4,0.95,0.0,506.0,271.0,395.0,416.0,52.0,164.0,118.0,233.0,90.0,163.0,155.0,0.0
1491,Biddu,Diamond Sutra,Raag Trance,,338.02404,10,0.012,0,0.15,-9.992,77.352,3,1.0,0.276,759.0,157.0,46.0,81.0,36.0,34.0,33.0,216.0,3.0,24.0,10.0,39.0
1492,Parachute Band,Technicolor,No Eye Has Seen,,199.28771,2,0.392,1,0.474,-3.353,141.749,4,0.554,2.212,204.0,48.0,55.0,21.0,22.0,34.0,7.0,46.0,11.0,16.0,5.0,0.0
1493,Leonid Rudenko,Summerfish,Summerfish,,395.28444,6,0.288,1,0.437,-5.299,127.981,4,0.0,0.0,321.0,140.0,275.0,312.0,90.0,157.0,57.0,137.0,51.0,97.0,42.0,1.0
1494,Wilmington Chester Mass Choir,It's Not Over,Lord You're Worthy (Album),,308.53179,5,0.398,0,0.417,-6.359,81.828,4,1.0,0.0,289.0,116.0,121.0,69.0,88.0,130.0,45.0,72.0,22.0,26.0,40.0,10.0
1495,Raze,The Plan,Laying Down My Will (The Plan Album Version),Wisconsin,277.81179,9,0.311,1,0.372,-4.092,136.271,4,0.192,0.0,349.0,107.0,114.0,81.0,70.0,59.0,38.0,96.0,61.0,79.0,20.0,92.0
1496,Stewart Francke,Where the River Meets the Bay,Across Decker's Field,Michigan,204.14649,0,0.716,1,0.7,-8.755,121.945,4,0.954,0.0,281.0,42.0,44.0,32.0,33.0,106.0,21.0,43.0,6.0,20.0,0.0,2.0
1497,All Time Low,Umbrella,Umbrella,"Baltimore, MD",227.70893,1,0.366,1,0.595,-8.901,87.953,4,0.806,2.519,311.0,28.0,39.0,12.0,30.0,121.0,6.0,50.0,11.0,17.0,6.0,2.0
1498,James Last,James Last And Friends,Summer Rain,"Bremen, Germany",227.94404,0,0.708,1,0.761,-10.242,84.001,1,0.979,3.901,268.0,41.0,64.0,23.0,71.0,77.0,12.0,73.0,8.0,39.0,6.0,31.0
1499,5th Ward Boyz,Ghetto Dope,Undercover Gangstas,,246.07302,1,0.0,0,0.0,-8.15,179.831,4,0.0,0.0,156.0,143.0,80.0,157.0,125.0,47.0,99.0,128.0,52.0,56.0,66.0,27.0
1500,Bill Perkins,Swing Spring,Swing Spring,"San Francisco, CA",341.75955,1,0.237,1,0.37,-10.537,120.731,4,0.529,0.224,223.0,250.0,153.0,130.0,99.0,139.0,118.0,77.0,54.0,58.0,76.0,50.0
1501,Spliff,85555,S.O.S.,,225.74975,8,0.004,1,0.181,-15.893,110.598,4,0.912,0.0,183.0,145.0,121.0,75.0,36.0,75.0,36.0,123.0,29.0,23.0,30.0,63.0
1502,Bert Kaempfert And His Orchestra,The Collection,Wheeling Free,"Hamburg, Germany",201.92608,10,0.519,1,0.761,-14.361,144.232,4,0.279,0.184,338.0,70.0,48.0,28.0,32.0,19.0,8.0,115.0,15.0,3.0,17.0,11.0
1503,Rachel Portman,The Sisterhood of the Traveling Pants 2,Bridget,,199.05261,4,0.665,0,0.605,-22.272,86.463,4,0.334,0.241,148.0,12.0,18.0,19.0,33.0,17.0,3.0,32.0,2.0,10.0,2.0,2.0
1504,G-Unit,T.O.S. (Terminate On Sight),I Don't Want To Talk About It,ABD,274.78159,4,0.463,1,0.401,-5.958,92.998,5,0.998,0.113,288.0,141.0,76.0,84.0,97.0,62.0,102.0,132.0,22.0,10.0,61.0,37.0
1505,Memphis Sheiks,Slow-Cooked Pig Meat,Ramblin' On My Mind,,363.20608,2,0.626,1,0.556,-12.935,85.551,1,0.0,0.218,461.0,161.0,136.0,105.0,88.0,131.0,45.0,77.0,31.0,62.0,10.0,40.0
1506,Champion Jack Dupree,Champion Of The Blues,Snaps Drinking Woman (LP Version),"New Orleans, LA",165.25016,11,0.137,1,0.443,-12.325,121.375,4,1.0,0.479,104.0,92.0,66.0,56.0,50.0,26.0,31.0,68.0,26.0,19.0,30.0,12.0
1507,Atari Teenage Riot,Live at Brixton Academy 1999,Live At Brixton Academy 1999,"Berlin, Germany",1598.1971,10,0.152,1,0.0,-7.638,74.384,7,0.825,1.03,541.0,420.0,163.0,120.0,85.0,91.0,93.0,97.0,80.0,47.0,34.0,17.0
1508,My Chemical Romance,The Black Parade,House Of Wolves (Album Version),New Jersey,184.00608,4,0.239,0,0.323,-2.895,127.15,4,0.632,0.084,160.0,68.0,42.0,34.0,39.0,33.0,25.0,58.0,13.0,29.0,17.0,24.0
1509,Memphis La Blusera,Nunca Tuve Tanto Blues,Exactamente Medianoche,,338.12853,9,0.0,0,0.063,-13.422,84.895,4,0.49,0.0,500.0,123.0,125.0,88.0,44.0,127.0,16.0,95.0,12.0,37.0,5.0,15.0
1510,Sleepy John Estes,Legendary Country Blues Artists - CD A,Street Car Blues,"Ripley, TN",196.88444,0,0.766,1,0.811,-18.338,158.767,1,0.0,0.282,285.0,70.0,43.0,32.0,59.0,38.0,32.0,59.0,3.0,12.0,5.0,24.0
1511,The Mad Capsule Markets,CiSTm KonFLiqt, -start ID-,JP,12.12036,7,0.109,1,0.345,-17.425,137.537,1,0.0,0.578,15.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0
1512,Schizoid,All Things Are Connected,Dementia,,184.18893,4,0.428,1,0.074,-4.665,81.767,4,0.314,0.0,127.0,67.0,29.0,50.0,43.0,22.0,22.0,23.0,11.0,9.0,19.0,18.0
1513,Bare Jr.,Boo-Tay,Snippet 15,,3.99628,10,0.013,1,0.255,-34.033,0.0,4,0.0,0.0,2.0,6.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
1514,Roger Williams,Songs Of The Fabulous Century,Cool Water,"Omaha, NE",201.74322,7,0.861,1,0.818,-14.173,111.428,4,0.277,0.502,202.0,18.0,71.0,46.0,62.0,98.0,2.0,33.0,0.0,11.0,0.0,1.0
1515,Del Tha Funkee Homosapien,I Wish My Brother George Was Here,Ya Lil' Crumbsnatchers (LP Version),"Oakland, CA",90.90567,8,0.648,1,0.524,-9.505,108.445,4,0.879,0.0,100.0,87.0,63.0,29.0,28.0,27.0,23.0,20.0,14.0,8.0,1.0,5.0
1516,Alice Cooper,THE EYES OF,This House Is Haunted,"Detroit, MI",210.54649,1,0.171,0,0.238,-12.26,130.325,1,0.33,7.007,164.0,93.0,50.0,37.0,26.0,56.0,34.0,42.0,12.0,7.0,13.0,4.0
1517,Kai Winding,The Trombone Sound,Captin Kut-Cha,"Aarhus, Denmark",191.97342,0,0.0,0,0.0,-18.025,182.879,1,0.0,0.095,120.0,170.0,134.0,89.0,59.0,89.0,43.0,41.0,26.0,20.0,14.0,3.0
1518,Aiden,Knives [Clean],Killing Machine,"Seattle, Washington",140.40771,2,0.0,0,0.242,-4.459,207.974,4,0.0,0.0,144.0,82.0,36.0,31.0,40.0,66.0,24.0,45.0,51.0,11.0,15.0,1.0
1519,Cal Tjader,Latin Kick,Manuel's Mambo,"St. Louis, MO",197.22404,0,0.0,1,0.0,-23.549,176.279,4,0.209,0.0,334.0,166.0,46.0,65.0,23.0,76.0,35.0,65.0,28.0,17.0,35.0,6.0
1520,Ill Nino,One Nation Underground,All I Ask For (Album Version),Nueva Jersey (Estados Unidos),219.81995,8,0.615,1,0.611,-3.67,91.011,4,0.839,0.119,241.0,100.0,89.0,24.0,48.0,41.0,32.0,46.0,37.0,28.0,18.0,5.0
1521,Rebecca Lynn Howard,No Rules [Bonus Edition],I'm Over You (Album Version),"Salyersville, KY",243.25179,6,0.828,1,0.621,-4.403,89.925,4,1.0,0.311,276.0,65.0,83.0,40.0,39.0,131.0,13.0,35.0,12.0,27.0,51.0,29.0
1522,Dive,Stills,Contact,NY - Upstate NY,227.36934,0,0.013,1,0.304,-15.712,103.621,4,1.0,8.702,366.0,133.0,22.0,23.0,12.0,22.0,12.0,15.0,12.0,16.0,6.0,0.0
1523,Barbara Lusch,Surprisingly Good for You,Why Don't You Do Right,Oregon,197.72036,4,0.335,0,0.48,-12.745,120.138,3,1.0,0.078,178.0,77.0,102.0,49.0,32.0,32.0,30.0,50.0,8.0,20.0,18.0,18.0
1524,Brand X,Morrocan Roll,Hate Zone,"Sikeston, MO",281.52118,9,0.223,1,0.285,-13.358,201.006,4,0.0,0.285,303.0,176.0,123.0,112.0,82.0,66.0,59.0,79.0,51.0,42.0,37.0,45.0
1525,Intars Busulis,Eurovision Song Contest 2009,Probka (Latvia),,183.58812,7,0.374,0,0.324,-2.713,142.895,4,0.953,0.206,214.0,63.0,92.0,50.0,29.0,35.0,31.0,43.0,6.0,11.0,3.0,1.0
1526,Charlie Rich,The Complete Hi Recordings of Charlie Rich,Only Me,"Benton, Arkansas",148.24444,7,0.487,1,0.449,-15.354,108.128,4,0.151,0.171,160.0,56.0,43.0,30.0,30.0,59.0,12.0,26.0,7.0,7.0,5.0,4.0
1527,Virtuoso,Virtuoso,Beautiful Maria of My Soul,Louisiana,277.7073,7,0.638,0,0.49,-8.498,100.095,4,1.0,0.154,337.0,131.0,101.0,75.0,70.0,51.0,28.0,70.0,30.0,17.0,15.0,7.0
1528,Karen Peck And New River,The Best Of Karen Peck And New River,Feels Good To Be Free,Tennessee,194.45506,0,0.031,1,0.652,-5.729,89.001,4,0.885,0.19,234.0,71.0,36.0,23.0,45.0,67.0,12.0,34.0,10.0,34.0,24.0,7.0
1529,Judy Mowatt,Only A Woman,Trade Winds,Jamaica,349.51791,1,0.477,1,0.49,-17.081,149.567,4,0.0,0.142,540.0,125.0,181.0,93.0,66.0,52.0,35.0,108.0,26.0,38.0,24.0,8.0
1530,Marlene Dietrich,Lili Marlene,No Love No Nothing,"Sch�erg, Germany",175.25506,8,0.559,1,0.471,-17.186,84.894,5,0.369,0.531,104.0,84.0,57.0,59.0,38.0,33.0,23.0,29.0,17.0,13.0,22.0,3.0
1531,Michael Bloomfield,If You Love These Blues_ Play'em As You Please,I Must See Jesus,,271.85587,0,0.692,1,0.714,-13.983,74.392,3,0.397,0.316,197.0,26.0,54.0,49.0,74.0,68.0,10.0,94.0,7.0,19.0,3.0,9.0
1532,Paul Rodgers,Alright Now,Alright Now,"Middlesbrough, England",269.81832,11,0.385,0,0.478,-8.525,120.859,4,0.484,0.17,230.0,62.0,113.0,120.0,49.0,97.0,39.0,70.0,62.0,20.0,2.0,1.0
1533,Dead Prez,Let's Get Free,Assassination,,120.86812,6,0.459,1,0.396,-6.72,170.081,5,1.0,0.0,105.0,85.0,55.0,65.0,63.0,44.0,50.0,25.0,10.0,34.0,4.0,1.0
1534,David Cook,David Cook,I Did it for You,"Tulsa, Oklahoma",229.45914,9,0.811,1,0.784,-3.8,82.282,4,0.683,2.322,260.0,49.0,45.0,24.0,15.0,49.0,1.0,26.0,22.0,12.0,17.0,4.0
