MB Genre,Duration (sec),Key,Key Confidence,Mode,Mode Confidence,Loudness,Tempo,Time Signature,Time Signature Confidence,End of Fade In,Interval 1 Count,Interval 2 Count,Interval 3 Count,Interval 4 Count,Interval 5 Count,Interval 6 Count,Interval 7 Count,Interval 8 Count,Interval 9 Count,Interval 10 Count,Interval 11 Count,Interval 12 Count
blues,173.89669,11,0.652,0,0.253,-11.954,176.121,4,1.0,0.177,161.0,69.0,89.0,149.0,80.0,54.0,23.0,45.0,22.0,8.0,51.0,3.0
pop rock,336.84853,6,0.896,1,0.688,-5.158,130.281,4,0.283,4.377,379.0,79.0,93.0,32.0,36.0,66.0,25.0,80.0,33.0,14.0,19.0,17.0
hip hop,181.28934,11,0.217,1,0.357,-4.186,105.393,4,0.906,0.0,107.0,150.0,67.0,66.0,31.0,52.0,43.0,31.0,51.0,52.0,61.0,35.0
jazz,355.05587,5,0.809,0,0.669,-9.681,215.461,3,0.358,0.321,335.0,216.0,111.0,152.0,131.0,146.0,123.0,192.0,36.0,72.0,69.0,25.0
blues,218.3571,7,0.394,1,0.781,-9.978,94.57,5,0.362,7.947,199.0,106.0,69.0,26.0,41.0,56.0,35.0,76.0,19.0,37.0,6.0,1.0
gangsta rap,201.06404,6,0.665,0,0.525,-8.011,96.058,4,0.99,0.52,93.0,142.0,155.0,162.0,140.0,113.0,79.0,64.0,53.0,16.0,16.0,3.0
hip hop,212.71465,0,0.713,1,0.578,-11.26,128.689,4,0.433,0.427,241.0,107.0,125.0,43.0,73.0,59.0,40.0,56.0,16.0,27.0,15.0,15.0
hip hop,98.16771,1,0.497,1,0.523,-3.887,123.881,5,1.0,0.0,90.0,66.0,31.0,31.0,21.0,51.0,37.0,21.0,19.0,27.0,28.0,28.0
folk,202.57914,11,0.483,0,0.564,-12.215,160.066,4,0.356,0.137,222.0,135.0,72.0,70.0,31.0,75.0,24.0,29.0,26.0,20.0,31.0,66.0
ambient,226.82077,0,0.396,1,0.442,-12.778,45.43,4,1.0,1.214,298.0,38.0,120.0,36.0,48.0,59.0,9.0,27.0,5.0,35.0,2.0,41.0
blues,270.96771,2,0.728,1,0.802,-5.807,93.532,4,0.569,0.0,238.0,125.0,148.0,57.0,55.0,80.0,29.0,84.0,28.0,30.0,1.0,3.0
pop,200.9073,9,0.305,1,0.496,-5.901,108.199,4,0.675,3.437,145.0,96.0,45.0,90.0,67.0,63.0,26.0,124.0,58.0,27.0,26.0,7.0
country,189.57016,6,0.755,1,0.726,-11.156,67.904,4,0.655,0.0,174.0,32.0,36.0,22.0,13.0,47.0,9.0,9.0,16.0,5.0,21.0,5.0
rock,175.96036,7,0.739,1,0.431,-5.204,193.584,4,0.402,0.125,197.0,128.0,55.0,56.0,56.0,67.0,47.0,58.0,48.0,85.0,93.0,33.0
contemporary jazz,471.43138,11,0.468,1,0.419,-17.502,82.039,1,0.206,0.4,385.0,317.0,248.0,245.0,191.0,145.0,107.0,121.0,130.0,55.0,58.0,18.0
dancehall,326.00771,6,0.232,0,0.336,-8.28,158.242,4,0.27,0.194,330.0,304.0,151.0,53.0,29.0,127.0,63.0,134.0,108.0,34.0,25.0,6.0
contemporary jazz,283.74159,6,0.538,1,0.568,-16.715,122.895,4,0.784,8.94,472.0,126.0,82.0,82.0,134.0,151.0,27.0,200.0,14.0,26.0,18.0,1.0
rock,281.88689,4,0.625,1,0.288,-8.672,92.881,4,0.941,0.0,260.0,81.0,72.0,58.0,15.0,64.0,37.0,43.0,29.0,15.0,36.0,53.0
ballad,285.98812,3,0.997,1,0.936,-11.341,136.32,4,0.903,0.328,415.0,48.0,69.0,44.0,20.0,90.0,12.0,104.0,51.0,7.0,13.0,1.0
electro,251.61098,9,0.578,1,0.606,-13.573,90.011,4,0.751,6.153,290.0,27.0,48.0,60.0,39.0,106.0,8.0,96.0,20.0,5.0,2.0,4.0
country,416.70485,3,0.362,1,0.415,-11.869,144.215,3,0.482,0.166,394.0,120.0,131.0,100.0,94.0,162.0,51.0,61.0,24.0,19.0,36.0,11.0
alternative metal,206.94159,0,0.005,1,0.203,-3.568,112.77,4,0.806,0.073,220.0,28.0,32.0,36.0,36.0,34.0,9.0,53.0,8.0,4.0,11.0,3.0
latin,136.09751,0,0.502,1,0.509,-10.295,112.915,4,0.952,0.236,127.0,37.0,67.0,26.0,34.0,45.0,19.0,33.0,14.0,14.0,4.0,21.0
ambient,226.76853,2,0.027,1,0.4,-24.802,118.311,3,1.0,0.0,134.0,22.0,43.0,17.0,5.0,64.0,10.0,33.0,11.0,1.0,4.0,0.0
east coast hip hop,283.61098,9,0.1,0,0.035,-7.677,85.897,4,1.0,0.0,228.0,188.0,118.0,93.0,92.0,77.0,87.0,106.0,60.0,67.0,32.0,18.0
electronic,492.45995,11,0.486,0,0.354,-6.158,135.993,4,0.151,0.0,483.0,413.0,116.0,239.0,95.0,160.0,94.0,39.0,178.0,84.0,462.0,281.0
electronic,243.43465,11,0.123,0,0.332,-6.191,132.965,4,0.172,3.785,521.0,222.0,75.0,17.0,57.0,44.0,33.0,80.0,15.0,16.0,39.0,14.0
electro,421.95546,0,0.713,1,0.669,-5.721,122.484,4,0.727,0.0,535.0,157.0,101.0,52.0,58.0,103.0,173.0,195.0,40.0,39.0,88.0,58.0
alternative rock,302.8371,9,0.659,0,0.619,-9.795,119.09,4,0.877,6.037,565.0,54.0,55.0,30.0,42.0,34.0,24.0,69.0,20.0,39.0,20.0,20.0
pop,210.85995,7,0.422,0,0.568,-6.676,112.795,4,0.381,0.119,253.0,48.0,27.0,24.0,123.0,121.0,20.0,31.0,8.0,3.0,8.0,2.0
gospel,263.65342,8,0.662,1,0.714,-6.677,100.081,4,1.0,0.351,169.0,193.0,110.0,63.0,68.0,88.0,44.0,75.0,51.0,59.0,59.0,8.0
disco,244.53179,11,0.16,0,0.365,-11.655,110.444,4,1.0,0.113,319.0,141.0,129.0,192.0,58.0,19.0,14.0,23.0,23.0,34.0,34.0,9.0
hard rock,257.2273,1,0.747,1,0.7,-2.769,140.994,4,0.381,0.246,256.0,107.0,73.0,54.0,78.0,85.0,26.0,30.0,5.0,7.0,15.0,5.0
contemporary r&b,255.99955,7,0.267,0,0.324,-6.155,113.485,3,1.0,0.177,155.0,184.0,148.0,48.0,69.0,74.0,42.0,157.0,108.0,47.0,5.0,1.0
gangsta rap,255.73832,9,0.556,1,0.455,-5.724,101.167,1,1.0,0.156,420.0,142.0,76.0,169.0,73.0,33.0,33.0,61.0,73.0,34.0,4.0,12.0
latin,213.49832,6,0.448,1,0.431,-12.82,91.806,7,0.593,0.387,277.0,111.0,125.0,83.0,64.0,146.0,43.0,53.0,18.0,23.0,13.0,1.0
hip hop,168.85506,7,0.209,1,0.331,-4.127,110.106,5,1.0,0.0,173.0,138.0,49.0,28.0,25.0,23.0,22.0,29.0,31.0,52.0,67.0,108.0
hard rock,217.91302,2,0.69,1,0.521,-5.746,85.039,4,1.0,0.148,177.0,48.0,11.0,17.0,21.0,34.0,47.0,53.0,53.0,23.0,0.0,3.0
pop,256.28689,10,0.959,1,0.725,-10.872,132.109,4,0.792,0.177,330.0,109.0,99.0,33.0,54.0,90.0,32.0,69.0,34.0,61.0,13.0,4.0
hip hop,241.37098,8,0.752,0,0.59,-4.999,105.201,4,0.536,0.229,317.0,137.0,176.0,114.0,37.0,77.0,42.0,102.0,59.0,70.0,47.0,8.0
blues,271.59465,4,0.681,1,0.637,-10.747,76.908,7,0.485,0.0,239.0,82.0,93.0,82.0,28.0,51.0,12.0,27.0,18.0,9.0,14.0,11.0
electronic,273.84118,10,0.627,1,0.411,-8.015,96.859,4,0.993,0.189,409.0,105.0,101.0,41.0,56.0,104.0,39.0,96.0,54.0,74.0,34.0,14.0
alternative rock,237.60934,9,0.624,1,0.443,-5.88,103.218,4,0.64,0.369,291.0,238.0,51.0,47.0,26.0,64.0,32.0,52.0,86.0,52.0,18.0,13.0
blues,305.6322,4,0.376,0,0.384,-11.61,120.765,3,1.0,0.568,244.0,152.0,111.0,79.0,82.0,130.0,43.0,46.0,14.0,61.0,31.0,6.0
blues,185.36444,8,0.478,1,0.513,-13.336,142.739,1,0.238,0.0,93.0,91.0,90.0,80.0,21.0,70.0,20.0,30.0,62.0,32.0,79.0,1.0
alternative rock,284.3424,4,0.49,1,0.469,-6.546,151.953,4,0.198,0.206,444.0,130.0,112.0,112.0,38.0,71.0,22.0,100.0,36.0,22.0,42.0,25.0
hip hop,152.92036,11,0.823,1,0.587,-7.132,152.343,4,0.782,0.0,140.0,102.0,57.0,55.0,51.0,52.0,52.0,29.0,24.0,32.0,39.0,56.0
hard rock,974.99383,0,0.414,1,0.584,-12.391,126.83,4,0.457,0.0,843.0,662.0,391.0,308.0,391.0,346.0,252.0,193.0,57.0,72.0,61.0,57.0
classic rock,229.58975,7,0.598,1,0.624,-8.064,102.984,4,0.895,0.0,213.0,57.0,87.0,33.0,54.0,47.0,28.0,91.0,42.0,89.0,2.0,3.0
country,329.24689,2,0.702,1,0.658,-8.159,151.676,4,0.517,0.0,495.0,95.0,87.0,25.0,25.0,70.0,21.0,67.0,23.0,22.0,7.0,23.0
blues,283.29751,9,0.658,0,0.548,-15.029,113.838,3,0.891,0.351,313.0,85.0,160.0,41.0,23.0,44.0,25.0,30.0,30.0,79.0,3.0,1.0
hard rock,398.44526,1,0.584,1,0.505,-9.244,150.3,4,0.41,0.0,512.0,80.0,172.0,78.0,36.0,156.0,16.0,91.0,29.0,12.0,29.0,3.0
pop,206.602,9,0.754,0,0.784,-11.017,125.1,4,0.457,0.0,234.0,86.0,44.0,35.0,56.0,88.0,12.0,18.0,11.0,32.0,0.0,1.0
breakbeat,271.77751,0,0.674,1,0.556,-6.947,90.648,3,1.0,0.0,313.0,158.0,116.0,233.0,163.0,57.0,68.0,133.0,63.0,18.0,16.0,23.0
hip hop,159.26812,6,0.543,0,0.273,-11.498,173.423,4,0.918,0.31,103.0,147.0,70.0,47.0,36.0,69.0,37.0,44.0,33.0,60.0,50.0,45.0
folk,293.92934,5,0.08,0,0.322,-9.464,163.567,4,0.564,0.212,624.0,104.0,61.0,32.0,7.0,38.0,22.0,44.0,79.0,22.0,48.0,24.0
soul,178.49424,1,0.593,1,0.594,-20.418,82.79,4,0.732,0.132,173.0,68.0,59.0,48.0,18.0,38.0,30.0,24.0,28.0,11.0,12.0,6.0
classical,135.13098,8,0.556,1,0.459,-17.667,92.409,1,0.677,0.844,108.0,79.0,66.0,44.0,30.0,41.0,10.0,20.0,20.0,6.0,9.0,5.0
ambient,296.33261,1,0.379,1,0.428,-8.209,118.203,4,0.373,0.334,633.0,67.0,215.0,79.0,114.0,444.0,44.0,12.0,7.0,20.0,28.0,4.0
hip hop,291.97016,10,0.019,0,0.41,-6.342,168.0,4,0.132,0.082,163.0,258.0,86.0,169.0,75.0,87.0,34.0,79.0,71.0,77.0,134.0,97.0
hip hop,180.45342,7,0.165,1,0.446,-3.949,90.473,4,0.539,0.59,212.0,128.0,60.0,82.0,59.0,76.0,42.0,38.0,110.0,37.0,5.0,1.0
ballad,229.0673,0,0.667,1,0.799,-6.947,101.43,4,0.415,0.409,363.0,67.0,78.0,24.0,32.0,43.0,21.0,63.0,9.0,15.0,5.0,34.0
rock,150.07302,7,0.205,1,0.601,-17.914,88.521,3,0.938,3.332,179.0,97.0,31.0,36.0,23.0,104.0,14.0,49.0,8.0,4.0,4.0,7.0
alternative metal,256.522,10,0.346,0,0.422,-3.91,107.845,4,1.0,0.0,175.0,44.0,60.0,40.0,29.0,66.0,27.0,40.0,14.0,20.0,7.0,3.0
jazz,307.40853,0,0.126,0,0.169,-11.143,192.301,3,0.069,0.374,456.0,171.0,239.0,90.0,78.0,132.0,68.0,89.0,41.0,43.0,31.0,6.0
alternative metal,218.90567,0,0.588,0,0.584,-4.707,157.715,4,0.691,0.0,250.0,129.0,38.0,31.0,29.0,45.0,52.0,129.0,49.0,35.0,15.0,4.0
alternative rock,225.14893,2,0.554,1,0.491,-9.833,91.162,4,0.289,1.065,401.0,40.0,66.0,17.0,13.0,48.0,11.0,23.0,30.0,22.0,8.0,3.0
disco,207.04608,2,0.619,1,0.509,-13.47,76.222,4,0.141,2.276,207.0,56.0,70.0,39.0,20.0,37.0,22.0,35.0,12.0,13.0,9.0,9.0
electro,187.0624,9,0.234,0,0.266,-7.098,84.525,3,1.0,0.084,93.0,136.0,108.0,64.0,45.0,61.0,57.0,77.0,63.0,84.0,27.0,15.0
electro,239.80363,1,0.01,0,0.259,-13.248,165.252,4,0.877,23.841,305.0,187.0,74.0,185.0,50.0,157.0,25.0,48.0,171.0,45.0,23.0,26.0
jazz,327.18322,9,0.707,1,0.564,-24.901,94.776,3,0.761,0.0,150.0,76.0,21.0,17.0,33.0,12.0,18.0,20.0,16.0,21.0,13.0,2.0
ambient,288.07791,8,0.851,1,0.74,-14.015,116.866,4,0.773,7.274,476.0,59.0,33.0,50.0,10.0,106.0,21.0,158.0,112.0,22.0,62.0,4.0
gangsta rap,266.78812,10,0.055,0,0.199,-6.858,180.02,4,0.856,0.206,625.0,182.0,75.0,38.0,41.0,26.0,23.0,51.0,28.0,27.0,26.0,63.0
hip hop,163.39546,7,0.02,1,0.275,-9.632,100.016,4,0.862,0.0,133.0,138.0,101.0,86.0,55.0,54.0,44.0,57.0,46.0,39.0,22.0,13.0
gospel,235.65016,1,0.486,0,0.353,-6.171,152.017,4,0.86,0.217,228.0,131.0,62.0,60.0,50.0,39.0,42.0,39.0,37.0,21.0,30.0,18.0
hip hop,200.51546,10,0.216,1,0.292,-6.609,167.902,4,0.918,0.0,141.0,170.0,117.0,68.0,47.0,44.0,50.0,74.0,67.0,78.0,30.0,12.0
electronic,233.53424,6,0.741,1,0.548,-5.483,184.981,4,0.32,0.0,300.0,94.0,64.0,43.0,37.0,27.0,3.0,66.0,211.0,110.0,33.0,37.0
electronic,589.87057,0,0.03,1,0.346,-15.542,127.999,4,0.275,0.514,472.0,428.0,167.0,140.0,298.0,131.0,227.0,107.0,67.0,148.0,566.0,54.0
electronic,540.49914,1,0.45,1,0.477,-18.464,154.045,3,0.494,10.838,235.0,101.0,66.0,71.0,36.0,74.0,49.0,37.0,39.0,20.0,22.0,27.0
electronic,210.25914,7,0.695,1,0.381,-6.027,190.14,4,0.783,0.0,160.0,139.0,152.0,49.0,41.0,33.0,65.0,68.0,131.0,118.0,49.0,19.0
alternative rock,122.64444,9,0.343,1,0.276,-15.855,108.489,4,0.509,0.218,108.0,59.0,46.0,50.0,43.0,44.0,31.0,30.0,11.0,16.0,15.0,9.0
hip hop,199.94077,11,0.698,1,0.703,-6.469,101.786,4,0.553,0.206,93.0,132.0,35.0,12.0,16.0,61.0,171.0,39.0,40.0,30.0,29.0,40.0
ambient,274.41587,2,0.39,1,0.184,-10.467,78.033,7,0.917,0.242,150.0,214.0,155.0,141.0,104.0,116.0,115.0,95.0,40.0,50.0,82.0,15.0
punk,131.082,4,0.124,0,0.42,-10.158,126.412,1,0.361,0.681,94.0,78.0,50.0,71.0,29.0,31.0,29.0,37.0,12.0,11.0,2.0,1.0
hip hop,215.92771,10,0.682,0,0.682,-5.771,126.693,1,1.0,0.125,208.0,228.0,102.0,57.0,47.0,51.0,35.0,57.0,58.0,128.0,98.0,30.0
pop,278.12526,7,0.681,0,0.687,-10.032,209.384,3,1.0,0.107,336.0,155.0,170.0,83.0,65.0,136.0,20.0,40.0,18.0,26.0,26.0,6.0
breakbeat,185.62567,1,0.119,1,0.494,-15.686,102.976,3,1.0,0.525,212.0,0.0,135.0,3.0,4.0,0.0,304.0,0.0,173.0,0.0,17.0,0.0
alternative rock,313.10322,5,0.216,1,0.523,-12.584,110.742,4,0.693,3.338,493.0,57.0,56.0,85.0,34.0,65.0,30.0,76.0,28.0,9.0,69.0,7.0
indie rock,201.58649,7,0.663,0,0.639,-2.87,182.977,4,0.472,0.142,206.0,63.0,99.0,60.0,62.0,81.0,24.0,37.0,14.0,27.0,10.0,0.0
electronic,399.82975,0,0.238,1,0.4,-7.715,140.077,4,0.716,2.937,701.0,133.0,127.0,49.0,41.0,32.0,18.0,39.0,19.0,20.0,4.0,10.0
blues,141.40036,8,0.738,1,0.639,-12.981,73.961,3,0.761,2.467,107.0,23.0,34.0,28.0,10.0,21.0,6.0,24.0,9.0,7.0,3.0,2.0
country,183.50975,0,0.786,1,0.677,-16.968,120.423,4,0.572,0.358,184.0,41.0,35.0,24.0,50.0,39.0,17.0,50.0,9.0,24.0,6.0,50.0
pop,136.38485,2,0.68,1,0.672,-9.462,86.708,4,0.261,0.142,93.0,71.0,39.0,35.0,46.0,66.0,30.0,41.0,25.0,34.0,20.0,10.0
rock,211.85261,11,0.972,1,0.808,-9.417,141.271,5,0.452,0.0,263.0,45.0,61.0,39.0,38.0,126.0,16.0,31.0,25.0,8.0,39.0,5.0
gangsta rap,190.74567,6,0.713,0,0.701,-5.718,155.08,4,0.846,2.119,169.0,139.0,147.0,166.0,64.0,64.0,30.0,25.0,30.0,13.0,3.0,5.0
easy listening,145.31873,5,0.57,1,0.502,-24.705,122.887,3,0.924,0.24,78.0,95.0,102.0,60.0,42.0,36.0,26.0,31.0,16.0,9.0,7.0,14.0
electronic,293.72036,6,0.01,1,0.298,-6.481,87.99,4,0.632,0.0,267.0,217.0,84.0,77.0,59.0,89.0,147.0,129.0,92.0,41.0,19.0,3.0
jazz,395.93751,4,0.39,0,0.498,-13.585,106.328,3,0.932,0.967,362.0,124.0,186.0,77.0,71.0,74.0,31.0,79.0,25.0,61.0,14.0,77.0
dancehall,179.51302,6,0.668,1,0.547,-1.997,98.071,4,1.0,0.0,154.0,79.0,57.0,71.0,62.0,120.0,81.0,62.0,54.0,13.0,62.0,102.0
electronic,171.49342,1,0.44,1,0.398,-5.788,128.013,4,0.525,0.0,270.0,193.0,31.0,19.0,16.0,44.0,91.0,59.0,48.0,22.0,35.0,19.0
classical,258.37669,1,0.444,1,0.431,-8.007,129.58,5,1.0,0.28,310.0,244.0,80.0,41.0,22.0,71.0,66.0,152.0,82.0,45.0,39.0,10.0
pop,294.47791,10,0.609,1,0.546,-5.597,119.101,4,0.931,0.0,401.0,79.0,79.0,57.0,30.0,93.0,20.0,56.0,22.0,17.0,29.0,13.0
pop,241.60608,4,0.391,0,0.501,-7.724,160.68,4,0.463,0.0,357.0,77.0,62.0,160.0,41.0,102.0,16.0,31.0,5.0,4.0,3.0,4.0
rock,284.76036,2,0.742,1,0.72,-10.631,120.277,4,1.0,0.171,507.0,105.0,49.0,31.0,30.0,38.0,32.0,34.0,15.0,24.0,7.0,2.0
soul,230.3473,11,0.396,1,0.421,-8.734,91.191,1,0.697,0.432,189.0,35.0,84.0,53.0,24.0,49.0,8.0,36.0,10.0,8.0,11.0,4.0
soul,133.3024,7,0.359,1,0.443,-12.632,111.422,4,0.773,0.0,113.0,95.0,106.0,137.0,58.0,37.0,36.0,18.0,15.0,20.0,7.0,2.0
folk,258.89914,3,0.479,1,0.286,-5.811,124.998,4,0.225,0.193,299.0,426.0,122.0,152.0,24.0,39.0,42.0,36.0,93.0,47.0,41.0,5.0
breakbeat,231.47057,11,0.016,0,0.269,-5.054,114.037,4,1.0,0.0,129.0,176.0,101.0,67.0,44.0,86.0,51.0,63.0,63.0,17.0,10.0,7.0
jazz,427.07546,1,0.2,1,0.328,-9.428,213.718,5,0.129,0.136,656.0,224.0,151.0,142.0,160.0,188.0,109.0,153.0,139.0,61.0,63.0,61.0
contemporary r&b,211.01669,11,0.479,1,0.549,-5.205,95.066,4,0.141,0.282,202.0,74.0,64.0,50.0,48.0,48.0,17.0,80.0,38.0,17.0,60.0,11.0
hard rock,380.682,2,0.184,1,0.476,-7.736,110.255,5,0.679,0.177,430.0,81.0,148.0,71.0,48.0,131.0,14.0,86.0,19.0,29.0,19.0,5.0
pop,345.7824,0,0.779,1,0.403,-9.423,93.068,4,0.819,0.0,297.0,245.0,232.0,115.0,124.0,165.0,98.0,128.0,56.0,53.0,21.0,15.0
alternative rock,243.17342,4,0.546,0,0.597,-6.149,152.468,5,0.406,1.646,261.0,64.0,132.0,57.0,31.0,57.0,33.0,37.0,7.0,34.0,19.0,80.0
country,162.45506,9,0.333,0,0.321,-14.152,182.918,7,0.364,2.85,130.0,132.0,61.0,47.0,27.0,34.0,20.0,33.0,53.0,43.0,15.0,4.0
hard rock,304.71791,5,0.663,1,0.693,-7.269,227.161,4,0.645,0.101,324.0,46.0,62.0,28.0,54.0,78.0,16.0,44.0,22.0,21.0,25.0,11.0
blues,169.35138,0,0.826,1,0.601,-14.073,99.435,4,0.999,0.0,212.0,89.0,63.0,36.0,43.0,60.0,23.0,120.0,18.0,19.0,2.0,8.0
pop,216.92036,0,0.512,1,0.578,-8.238,123.943,4,0.656,0.2,264.0,60.0,86.0,32.0,35.0,70.0,19.0,68.0,13.0,33.0,8.0,7.0
downtempo,217.62567,0,0.668,1,0.569,-5.625,170.373,5,1.0,0.0,190.0,203.0,110.0,27.0,118.0,40.0,102.0,39.0,2.0,84.0,37.0,7.0
gospel,264.09751,9,0.352,0,0.345,-8.299,97.022,4,0.565,0.125,199.0,115.0,133.0,76.0,58.0,99.0,34.0,67.0,22.0,38.0,60.0,29.0
ballad,262.08608,11,0.048,0,0.364,-3.825,175.959,4,0.792,0.415,207.0,186.0,125.0,230.0,81.0,74.0,101.0,81.0,63.0,40.0,47.0,21.0
pop,210.18077,9,0.929,0,0.849,-10.893,189.859,4,1.0,0.287,203.0,94.0,76.0,49.0,68.0,105.0,16.0,46.0,8.0,31.0,10.0,16.0
classic rock,246.7522,2,0.369,0,0.436,-6.873,79.428,4,0.054,0.131,113.0,121.0,82.0,59.0,66.0,43.0,34.0,9.0,6.0,11.0,2.0,2.0
jazz,156.52526,3,0.717,1,0.655,-14.355,94.771,3,0.768,0.27,174.0,23.0,51.0,52.0,18.0,37.0,4.0,14.0,15.0,2.0,8.0,2.0
alternative rock,316.96934,7,0.537,1,0.428,-7.896,187.844,4,0.543,3.454,606.0,219.0,120.0,31.0,43.0,33.0,14.0,29.0,44.0,70.0,53.0,15.0
jazz,259.21261,2,0.062,1,0.376,-7.742,113.41,5,0.613,0.147,310.0,187.0,107.0,51.0,32.0,68.0,66.0,99.0,135.0,49.0,16.0,3.0
rock,135.83628,0,0.799,1,0.361,-8.015,139.826,4,0.921,0.285,134.0,48.0,80.0,46.0,13.0,50.0,13.0,37.0,5.0,19.0,4.0,27.0
easy listening,170.37016,7,0.35,0,0.449,-9.905,121.596,4,0.194,1.054,246.0,54.0,84.0,44.0,60.0,129.0,15.0,38.0,23.0,40.0,16.0,0.0
pop,224.60036,8,0.719,1,0.565,-13.256,210.871,4,1.0,0.085,253.0,76.0,58.0,105.0,65.0,81.0,17.0,54.0,77.0,8.0,21.0,8.0
latin,232.14975,10,0.675,1,0.643,-9.994,98.07,4,0.476,0.369,307.0,60.0,88.0,37.0,28.0,115.0,23.0,46.0,11.0,10.0,6.0,7.0
alternative rock,369.94567,1,0.445,1,0.529,-4.196,119.234,4,0.738,0.0,402.0,148.0,103.0,69.0,38.0,79.0,32.0,93.0,56.0,28.0,28.0,23.0
punk,301.71383,11,0.607,0,0.242,-9.869,86.727,4,0.667,0.0,273.0,138.0,70.0,44.0,56.0,69.0,18.0,16.0,19.0,5.0,7.0,6.0
country,135.07873,7,0.676,1,0.607,-18.169,118.472,4,0.497,0.241,151.0,55.0,60.0,56.0,52.0,61.0,29.0,17.0,7.0,17.0,3.0,3.0
country,183.06567,7,0.027,0,0.389,-17.312,138.094,4,0.827,0.0,242.0,55.0,33.0,61.0,12.0,21.0,12.0,46.0,7.0,8.0,15.0,12.0
reggae,223.21587,7,0.284,1,0.12,-12.914,159.715,4,0.88,1.373,169.0,211.0,216.0,59.0,48.0,48.0,61.0,49.0,34.0,53.0,32.0,18.0
pop,226.82077,9,0.51,1,0.456,-7.684,119.524,4,0.941,0.322,293.0,101.0,80.0,120.0,41.0,60.0,14.0,84.0,35.0,23.0,35.0,29.0
hip hop,247.24853,0,0.59,1,0.568,-9.181,182.456,7,1.0,0.236,237.0,119.0,84.0,140.0,205.0,96.0,73.0,43.0,59.0,17.0,16.0,1.0
country,193.09669,8,0.795,1,0.768,-8.596,115.126,3,0.97,0.0,246.0,32.0,101.0,28.0,9.0,38.0,4.0,57.0,31.0,8.0,32.0,5.0
latin,181.39383,4,0.358,0,0.406,-9.735,212.401,7,0.006,0.193,265.0,186.0,121.0,94.0,74.0,48.0,43.0,38.0,27.0,23.0,23.0,19.0
blues,221.3873,9,0.111,0,0.109,-6.854,115.863,4,1.0,0.0,164.0,110.0,116.0,110.0,22.0,63.0,31.0,44.0,18.0,52.0,17.0,7.0
latin,250.48771,5,0.572,1,0.426,-7.658,103.02,1,0.025,0.403,300.0,107.0,122.0,82.0,104.0,113.0,29.0,59.0,33.0,44.0,33.0,13.0
indie rock,167.83628,4,0.2,1,0.322,-12.324,137.398,4,0.197,0.508,197.0,104.0,140.0,81.0,64.0,96.0,26.0,78.0,38.0,34.0,14.0,0.0
alternative rock,195.47383,0,0.745,1,0.667,-7.246,103.776,3,1.0,0.061,364.0,41.0,38.0,32.0,29.0,67.0,14.0,52.0,7.0,9.0,5.0,3.0
electronic,33.20118,0,0.378,1,0.408,-8.837,88.678,1,0.993,0.142,38.0,14.0,17.0,6.0,5.0,10.0,3.0,25.0,2.0,10.0,3.0,1.0
alternative rock,209.73669,2,0.315,0,0.406,-5.324,150.575,4,0.317,0.125,240.0,57.0,29.0,39.0,37.0,65.0,14.0,41.0,22.0,5.0,25.0,2.0
jazz,441.7824,10,0.549,1,0.452,-12.712,115.212,4,0.102,0.179,464.0,221.0,127.0,81.0,112.0,117.0,53.0,91.0,100.0,136.0,111.0,36.0
electronic,271.09832,8,0.102,1,0.301,-5.928,112.352,5,0.786,0.0,288.0,86.0,97.0,55.0,68.0,70.0,42.0,96.0,8.0,51.0,29.0,0.0
electronic,136.82893,9,0.002,1,0.249,-15.478,54.468,4,1.0,0.431,127.0,38.0,37.0,36.0,35.0,25.0,13.0,37.0,7.0,32.0,4.0,0.0
folk,436.27057,9,0.552,0,0.439,-12.797,144.076,4,0.341,0.241,566.0,233.0,332.0,113.0,98.0,138.0,83.0,106.0,51.0,73.0,39.0,41.0
dancehall,223.4771,9,0.45,1,0.392,-6.658,99.994,4,0.836,0.069,364.0,190.0,70.0,153.0,212.0,63.0,35.0,60.0,65.0,14.0,4.0,3.0
alternative metal,205.19138,2,0.374,1,0.515,-5.192,129.333,4,0.92,0.16,171.0,65.0,47.0,56.0,22.0,37.0,40.0,45.0,54.0,31.0,2.0,1.0
disco,508.02893,9,0.026,1,0.277,-6.992,126.984,4,0.095,2.572,591.0,535.0,98.0,123.0,103.0,254.0,157.0,31.0,52.0,107.0,312.0,99.0
alternative hip hop,304.16934,7,0.279,0,0.453,-8.613,104.128,4,0.507,0.0,244.0,216.0,190.0,220.0,63.0,38.0,99.0,44.0,22.0,30.0,31.0,11.0
pop,205.13914,2,0.571,1,0.732,-12.992,118.297,3,1.0,0.224,179.0,60.0,88.0,105.0,39.0,49.0,11.0,26.0,14.0,8.0,6.0,3.0
alternative hip hop,230.47791,6,0.266,1,0.361,-8.21,96.179,3,0.617,1.001,210.0,230.0,86.0,46.0,41.0,46.0,42.0,51.0,123.0,118.0,76.0,36.0
pop,276.74077,4,0.351,1,0.391,-13.659,114.915,7,0.81,0.345,199.0,106.0,116.0,95.0,53.0,64.0,24.0,48.0,29.0,15.0,23.0,7.0
blues,1819.76771,2,0.601,1,0.475,-14.402,134.531,4,0.493,2.386,2214.0,742.0,504.0,352.0,343.0,533.0,151.0,305.0,143.0,131.0,104.0,83.0
